name,Snippet,description,longitude,latitude,altitude
Kotelniki (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kotelniki_%28Moscow_Metro%29"">Kotelniki (Moscow Metro)</a>",37.8582,55.6743,0
Kozhukhovskaya,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kozhukhovskaya"">Kozhukhovskaya</a>",37.6851,55.7074,0
Krasnogvardeyskaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Krasnogvardeyskaya_%28Moscow_Metro%29"">Krasnogvardeyskaya (Moscow Metro)</a>",37.7444,55.6137,0
Krasnopresnenskaya,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Krasnopresnenskaya"">Krasnopresnenskaya</a>",37.5774,55.7613,0
Krasnoselskaya,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Krasnoselskaya"">Krasnoselskaya</a>",37.6673,55.7801,0
Krasnye Vorota (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Krasnye_Vorota_%28Moscow_Metro%29"">Krasnye Vorota (Moscow Metro)</a>",37.6487,55.769,0
Krestyanskaya Zastava,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Krestyanskaya_Zastava"">Krestyanskaya Zastava</a>",37.6673,55.7331,0
Kropotkinskaya,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kropotkinskaya"">Kropotkinskaya</a>",37.6037,55.7453,0
Krylatskoye (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Krylatskoye_%28Moscow_Metro%29"">Krylatskoye (Moscow Metro)</a>",37.4081,55.7567,0
Krymskaya (Moscow Central Circle),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Krymskaya_%28Moscow_Central_Circle%29"">Krymskaya (Moscow Central Circle)</a>",37.6042,55.6904,0
Kuntsevskaya (Arbatsko–Pokrovskaya and Filyovskaya lines),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kuntsevskaya_%28Arbatsko%E2%80%93Pokrovskaya_and_Filyovskaya_lines%29"">Kuntsevskaya (Arbatsko–Pokrovskaya and Filyovskaya lines)</a>",37.4459,55.7307,0
Kurskaya (Arbatsko–Pokrovskaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kurskaya_%28Arbatsko%E2%80%93Pokrovskaya_line%29"">Kurskaya (Arbatsko–Pokrovskaya line)</a>",37.6577,55.7576,0
Kurskaya (Koltsevaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kurskaya_%28Koltsevaya_line%29"">Kurskaya (Koltsevaya line)</a>",37.6595,55.757,0
Kutuzovskaya (Filyovskaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kutuzovskaya_%28Filyovskaya_line%29"">Kutuzovskaya (Filyovskaya line)</a>",37.5344,55.7399,0
Kutuzovskaya (Moscow Central Circle),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kutuzovskaya_%28Moscow_Central_Circle%29"">Kutuzovskaya (Moscow Central Circle)</a>",37.5344,55.7396,0
Kuzminki (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kuzminki_%28Moscow_Metro%29"">Kuzminki (Moscow Metro)</a>",37.7656,55.7056,0
Kuznetsky Most (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kuznetsky_Most_%28Moscow_Metro%29"">Kuznetsky Most (Moscow Metro)</a>",37.6259,55.7606,0
Lefortovo (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Lefortovo_%28Moscow_Metro%29"">Lefortovo (Moscow Metro)</a>",37.702777,55.764444,0
Leninsky Prospekt (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Leninsky_Prospekt_%28Moscow_Metro%29"">Leninsky Prospekt (Moscow Metro)</a>",37.5861,55.7077,0
Lermontovsky Prospekt,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Lermontovsky_Prospekt"">Lermontovsky Prospekt</a>",37.8525,55.7013,0
Lesoparkovaya,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Lesoparkovaya"">Lesoparkovaya</a>",37.5769,55.5821,0
Likhobory (Moscow Central Circle),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Likhobory_%28Moscow_Central_Circle%29"">Likhobory (Moscow Central Circle)</a>",37.5511,55.8472,0
Lokomotiv (Moscow Central Circle),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Lokomotiv_%28Moscow_Central_Circle%29"">Lokomotiv (Moscow Central Circle)</a>",37.7459,55.8039,0
Lomonosovsky Prospekt (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Lomonosovsky_Prospekt_%28Moscow_Metro%29"">Lomonosovsky Prospekt (Moscow Metro)</a>",37.5156,55.7069,0
Lubyanka (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Lubyanka_%28Moscow_Metro%29"">Lubyanka (Moscow Metro)</a>",37.6272,55.7597,0
Lukhmanovskaya,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Lukhmanovskaya"">Lukhmanovskaya</a>",37.9004,55.7085,0
Luzhniki (Moscow Central Circle),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Luzhniki_%28Moscow_Central_Circle%29"">Luzhniki (Moscow Central Circle)</a>",37.5605,55.721,0
Lyublino (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Lyublino_%28Moscow_Metro%29"">Lyublino (Moscow Metro)</a>",37.7618,55.6758,0
Marksistskaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Marksistskaya_%28Moscow_Metro%29"">Marksistskaya (Moscow Metro)</a>",37.6543,55.7411,0
Maryina Roshcha (Lyublinsko–Dmitrovskaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Maryina_Roshcha_%28Lyublinsko%E2%80%93Dmitrovskaya_line%29"">Maryina Roshcha (Lyublinsko–Dmitrovskaya line)</a>",37.6162,55.7954,0
Maryino (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Maryino_%28Moscow_Metro%29"">Maryino (Moscow Metro)</a>",37.7431,55.65,0
Mayakovskaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Mayakovskaya_%28Moscow_Metro%29"">Mayakovskaya (Moscow Metro)</a>",37.5958,55.7701,0
Medvedkovo (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Medvedkovo_%28Moscow_Metro%29"">Medvedkovo (Moscow Metro)</a>",37.6613,55.8872,0
Mendeleyevskaya,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Mendeleyevskaya"">Mendeleyevskaya</a>",37.6011,55.781,0
Mezhdunarodnaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Mezhdunarodnaya_%28Moscow_Metro%29"">Mezhdunarodnaya (Moscow Metro)</a>",37.5339,55.7483,0
Michurinsky Prospekt (Kalininsko–Solntsevskaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Michurinsky_Prospekt_%28Kalininsko%E2%80%93Solntsevskaya_line%29"">Michurinsky Prospekt (Kalininsko–Solntsevskaya line)</a>",37.485,55.689444,0
Minskaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Minskaya_%28Moscow_Metro%29"">Minskaya (Moscow Metro)</a>",37.497,55.7246,0
Mitino (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Mitino_%28Moscow_Metro%29"">Mitino (Moscow Metro)</a>",37.3622,55.8457,0
Mnyovniki (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Mnyovniki_%28Moscow_Metro%29"">Mnyovniki (Moscow Metro)</a>",37.4708,55.76,0
Molodyozhnaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Molodyozhnaya_%28Moscow_Metro%29"">Molodyozhnaya (Moscow Metro)</a>",37.4168,55.7408,0
Myakinino (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Myakinino_%28Moscow_Metro%29"">Myakinino (Moscow Metro)</a>",37.3852,55.8252,0
